IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.18.66,4,3,0.25,217.68,0.00
172.67.210.228,4,3,0.25,217.70,0.00
104.25.86.207,4,3,0.25,217.77,0.00
172.65.65.96,4,3,0.25,218.04,0.00
172.65.66.196,4,3,0.25,218.08,0.00
104.16.223.53,4,3,0.25,218.43,0.00
104.18.25.212,4,3,0.25,218.90,0.00
172.67.216.120,4,3,0.25,218.90,0.00
104.16.233.221,4,3,0.25,219.01,0.00
104.18.9.110,4,3,0.25,219.65,0.00
104.27.1.100,4,3,0.25,220.83,0.00
104.16.214.169,4,3,0.25,221.32,0.00
104.18.3.246,4,3,0.25,221.53,0.00
104.27.0.152,4,3,0.25,221.87,0.00
104.18.13.181,4,3,0.25,221.91,0.00
104.18.223.147,4,3,0.25,221.99,0.00
190.93.244.151,4,3,0.25,222.15,0.00
104.16.234.64,4,3,0.25,222.26,0.00
104.18.0.18,4,3,0.25,222.33,0.00
104.18.2.150,4,3,0.25,222.98,0.00
104.18.17.204,4,3,0.25,223.37,0.00
104.22.51.93,4,3,0.25,223.79,0.00
104.16.226.240,4,3,0.25,223.98,0.00
104.22.53.46,4,3,0.25,224.22,0.00
172.67.125.5,4,3,0.25,224.93,0.00
172.67.121.212,4,3,0.25,225.02,0.00
172.67.120.195,4,3,0.25,225.22,0.00
172.67.122.219,4,3,0.25,226.30,0.00
104.18.23.89,4,3,0.25,226.49,0.00
104.17.67.171,4,3,0.25,226.57,0.00
104.21.40.219,4,3,0.25,226.66,0.00
104.18.224.166,4,3,0.25,226.74,0.00
172.67.124.123,4,3,0.25,227.05,0.00
104.18.15.235,4,3,0.25,227.80,0.00
172.64.229.222,4,3,0.25,228.39,0.00
172.67.123.112,4,3,0.25,228.82,0.00
172.67.118.96,4,3,0.25,230.10,0.00
104.21.41.0,4,3,0.25,230.52,0.00
104.25.160.61,4,3,0.25,231.01,0.00
104.16.216.24,4,3,0.25,231.68,0.00
172.67.114.15,4,3,0.25,232.10,0.00
104.27.8.202,4,3,0.25,232.25,0.00
172.67.117.87,4,3,0.25,232.26,0.00
172.67.116.252,4,3,0.25,233.22,0.00
104.25.76.100,4,3,0.25,234.85,0.00
104.21.42.144,4,3,0.25,235.14,0.00
172.64.159.116,4,3,0.25,238.83,0.00
104.25.69.113,4,3,0.25,239.06,0.00
104.17.118.159,4,3,0.25,239.75,0.00
172.64.158.72,4,3,0.25,239.98,0.00
172.65.176.198,4,3,0.25,251.91,0.00
172.67.10.145,4,3,0.25,252.23,0.00
172.67.6.226,4,3,0.25,252.23,0.00
172.67.129.41,4,3,0.25,252.59,0.00
172.67.141.86,4,3,0.25,252.85,0.00
172.67.142.57,4,3,0.25,255.23,0.00
172.67.137.9,4,3,0.25,256.28,0.00
172.67.4.168,4,3,0.25,256.33,0.00
172.67.11.164,4,3,0.25,257.82,0.00
172.67.140.167,4,3,0.25,258.12,0.00
172.67.131.95,4,3,0.25,258.79,0.00
172.67.128.131,4,3,0.25,260.51,0.00
104.18.120.143,4,3,0.25,262.15,0.00
172.65.233.33,4,3,0.25,262.50,0.00
104.18.121.250,4,3,0.25,263.63,0.00
172.67.143.168,4,3,0.25,273.25,0.00
104.19.32.103,4,2,0.50,82.22,0.00
104.18.157.136,4,2,0.50,136.00,0.00
